Ingredients(name), Weight(g), Quantity(units), Price(£), Price per Weight, Price per Quantity
butter, 200, 1, 2, 0.01, 0
sugar, 200, 1, 1, 0.005, 0
egg, 0, 8, 2, 0, 0.25
lemon, 0, 1, 0.5, 0, 0.5
self-raising flour, 200, 1, 2, 0.01, 0
chicken, 900, 1, 8, 0.0088, 0 
strawberry, 300, 1, 3, 0.01, 0 
potatoes, 500, 1, 4, 0.008, 0
garlic cloves, 0, 3, 1, 0, 0.333
bacon, 200, 1, 2, 0.01, 0
pasta, 200, 1, 2.5, 0.0125, 0
cheese, 40, 1, 0.5, 0.0125, 0
carrot, 100, 1, 0.5, 0.005, 0
mince, 500, 1, 5, 0.01, 0
onion, 0, 1, 0.5, 0, 0.5
milk, 500, 1, 2, 0.004, 0
jam, 150, 1, 3, 0.02, 0
icing sugar, 100, 1, 2, 0.02, 0
oil, 50, 1, 2, 0.04, 0
chopped tomatoes, 200, 1, 2, 0.01, 0
plain flour, 200, 1, 2, 0.01, 0 
lasagne sheets, 300, 1, 5, 0.0167, 0
sweetcorn, 100, 1, 2, 0.02, 0
peas, 100, 1, 2, 0.02, 0
tuna, 150, 1, 3, 0.02, 0
lamb mince, 500, 1, 5, 0.01, 0
beef stock, 400, 1, 4, 0.01, 0
red chillies, 0, 2, 1, 0, 0.5
kidney beans, 400, 1, 2, 0.005, 0
lime, 0, 1, 0.5, 0, 0.5
red pepper, 0, 1, 0.5, 0, 0.5
white flour, 200, 1, 2, 0.01, 0
mozzarella, 100, 1, 2, 0.02, 0
yeast, 50, 1, 1, 0.02
water, 200, 1, 0.5, 0.5, 0
passata, 100, 1, 1, 0.01, 0
pepperoni, 200, 1, 3, 0.015, 0
yogurt, 100, 1, 1, 0.01, 0
root ginger, 20, 1, 0.5, 0.025, 0
